original_index,review_title,rating,aspect,sentiment,sentiment_phrase,full_review,publishedDate,placeInfo/addressObj/city,placeInfo/addressObj/state,placeInfo/addressObj/country
11,Positives and negatives,3,amenities,positive,"the most pleasant member of staff we spoke to was the lovely lady who cleaned our room, thank you to her!","We have just arrived back from 4 nights here. The positives are that the hotel is in a great location, rooms were very clean and modern and the views we had from our room were amazing! However we also have a negatives. We arrived after a long time traveling from Scotland. We arrived at check in at 2pm. We were not greeted with a nice welcome as you normally find in most hotels. We were just told we would need to pay $50 to check in before 4pm. We paid it as we were exhausted and had a young child with us. We enquired about WiFi which we were told was $20 per day. We opted out of that. On the day we were leaving it was raining so we asked reception about a taxi to the airport (JFK) and was told it would cost $120. We said no to that, so instead we asked the concierge downstairs where we could get a taxi. He said he could book one for us for $86. Quite a big difference considering they work in the same hotel! The most pleasant member of staff we spoke to was the lovely lady who cleaned our room, thank you to her! We would return because of location, but if I'm honest we didn't find the staff welcoming.",2025-04-13,New York City,NY,United States
11,Positives and negatives,3,service,positive,"the most pleasant member of staff we spoke to was the lovely lady who cleaned our room, thank you to her!","We have just arrived back from 4 nights here. The positives are that the hotel is in a great location, rooms were very clean and modern and the views we had from our room were amazing! However we also have a negatives. We arrived after a long time traveling from Scotland. We arrived at check in at 2pm. We were not greeted with a nice welcome as you normally find in most hotels. We were just told we would need to pay $50 to check in before 4pm. We paid it as we were exhausted and had a young child with us. We enquired about WiFi which we were told was $20 per day. We opted out of that. On the day we were leaving it was raining so we asked reception about a taxi to the airport (JFK) and was told it would cost $120. We said no to that, so instead we asked the concierge downstairs where we could get a taxi. He said he could book one for us for $86. Quite a big difference considering they work in the same hotel! The most pleasant member of staff we spoke to was the lovely lady who cleaned our room, thank you to her! We would return because of location, but if I'm honest we didn't find the staff welcoming.",2025-04-13,New York City,NY,United States
12,"Nice hotel, view, staff and food",4,amenities,positive,the room was nice and it came with three beds.,It was a good experience and I would definitely come back. The room was nice and it came with three beds. The bathroom was also quite nice as well. The view was really nice as well and it is in a great location. The staff were quite nice and the breakfast was the best I’ve ever had. They also had a nice bar with a variety of drinks. My only problems were how long the breakfast line was (around 25 mins waiting) and how they charged us a lot for the WIFi and storing luggage. It was really good and I would come back again 100%.,2025-04-13,New York City,NY,United States
12,"Nice hotel, view, staff and food",4,amenities,positive,the bathroom was also quite nice as well.,It was a good experience and I would definitely come back. The room was nice and it came with three beds. The bathroom was also quite nice as well. The view was really nice as well and it is in a great location. The staff were quite nice and the breakfast was the best I’ve ever had. They also had a nice bar with a variety of drinks. My only problems were how long the breakfast line was (around 25 mins waiting) and how they charged us a lot for the WIFi and storing luggage. It was really good and I would come back again 100%.,2025-04-13,New York City,NY,United States
12,"Nice hotel, view, staff and food",4,amenities,positive,the view was really nice as well and it is in a great location.,It was a good experience and I would definitely come back. The room was nice and it came with three beds. The bathroom was also quite nice as well. The view was really nice as well and it is in a great location. The staff were quite nice and the breakfast was the best I’ve ever had. They also had a nice bar with a variety of drinks. My only problems were how long the breakfast line was (around 25 mins waiting) and how they charged us a lot for the WIFi and storing luggage. It was really good and I would come back again 100%.,2025-04-13,New York City,NY,United States
12,"Nice hotel, view, staff and food",4,amenities,positive,they also had a nice bar with a variety of drinks.,It was a good experience and I would definitely come back. The room was nice and it came with three beds. The bathroom was also quite nice as well. The view was really nice as well and it is in a great location. The staff were quite nice and the breakfast was the best I’ve ever had. They also had a nice bar with a variety of drinks. My only problems were how long the breakfast line was (around 25 mins waiting) and how they charged us a lot for the WIFi and storing luggage. It was really good and I would come back again 100%.,2025-04-13,New York City,NY,United States
12,"Nice hotel, view, staff and food",4,attractions,positive,the view was really nice as well and it is in a great location.,It was a good experience and I would definitely come back. The room was nice and it came with three beds. The bathroom was also quite nice as well. The view was really nice as well and it is in a great location. The staff were quite nice and the breakfast was the best I’ve ever had. They also had a nice bar with a variety of drinks. My only problems were how long the breakfast line was (around 25 mins waiting) and how they charged us a lot for the WIFi and storing luggage. It was really good and I would come back again 100%.,2025-04-13,New York City,NY,United States
12,"Nice hotel, view, staff and food",4,food,positive,the staff were quite nice and the breakfast was the best i’ve ever had.,It was a good experience and I would definitely come back. The room was nice and it came with three beds. The bathroom was also quite nice as well. The view was really nice as well and it is in a great location. The staff were quite nice and the breakfast was the best I’ve ever had. They also had a nice bar with a variety of drinks. My only problems were how long the breakfast line was (around 25 mins waiting) and how they charged us a lot for the WIFi and storing luggage. It was really good and I would come back again 100%.,2025-04-13,New York City,NY,United States
12,"Nice hotel, view, staff and food",4,service,positive,the staff were quite nice and the breakfast was the best i’ve ever had.,It was a good experience and I would definitely come back. The room was nice and it came with three beds. The bathroom was also quite nice as well. The view was really nice as well and it is in a great location. The staff were quite nice and the breakfast was the best I’ve ever had. They also had a nice bar with a variety of drinks. My only problems were how long the breakfast line was (around 25 mins waiting) and how they charged us a lot for the WIFi and storing luggage. It was really good and I would come back again 100%.,2025-04-13,New York City,NY,United States
16,The BEST hotel to for our perfect holiday,5,attractions,positive,"first off, the moment you walk in, you're greeted by very friendly doormen who quickly recognised us every time we walk past and then by the beautiful smell of the lobby, which we couldn’t help but compliment every time we passed through.","This is my third visit to New York, and without a doubt, this is the BEST hotel I’ve stayed in. The location is absolutely unbeatable, right in the heart of Times Square.

First off, the moment you walk in, you're greeted by very friendly doormen who quickly recognised us every time we walk past and then by the beautiful smell of the lobby, which we couldn’t help but compliment every time we passed through. The lobby leads up to the Sky Lobby, which immediately gives you a sense of safety and security. We arrived at check-in around 1pm, and although our room was ready, they offered early check-in for a $50 fee or we could wait until 4pm. After a long international flight, we decided to pay the $50 to get into the room early.

The check-in process was smooth—we showed our passports to confirm the booking and were asked for a $100 per night incidental hold fee. We were charged $500 on the card as a holding fee. The receptionist also explained that we'd be charged hotel tax ($35+tax), but we would receive a $35 daily credit to use in the hotel (this doesn’t roll over to the next day). It’s easy to use at places like the bar or Long Acre Market, which is located on the same floor as the lobby. This is easily used as we found the market to be really expensive, e.g $5.50 for a bottle of Coke/Fanta. 

We stayed on the 33rd floor, room 3318, and the views were just amazing. To the right, you can see Times Square, to the left, the Hudson River, and below, you get a great view of 42nd Street. The room itself was incredibly spacious and clean, with everything we needed—iron, hairdryer, safe, and more. The only minor downside was that our room was adjoining the room next door, but if that's the only issue in a five-night stay, they’re definitely doing something right.

Every single staff member we interacted with was friendly and welcoming, and we appreciated the chats with them.

Checking out was just as easy as checking in. We got the balance refunded from the $500 deposit, and after five days of hotel fees and taxes, I received $256 back on my card within two days. Our flight wasn’t until later in the evening, so we paid $5 each to have our luggage stored with the doormen for the day.

As for the location—wow, we were literally in the center of everything. The subway line is right outside the hotel’s front door, making it easy to get anywhere (uptown, downtown, or even Brooklyn). Times Square is just five minutes away, and other landmarks like Rockefeller Center, Central Park, Bryant Park, the NY Public Library, and the Empire State Building are all within a short walk.

I can’t wait to be back and will definitely be choosing this hotel again for my next stay!",2025-04-08,New York City,NY,United States
16,The BEST hotel to for our perfect holiday,5,amenities,positive,"first off, the moment you walk in, you're greeted by very friendly doormen who quickly recognised us every time we walk past and then by the beautiful smell of the lobby, which we couldn’t help but compliment every time we passed through.","This is my third visit to New York, and without a doubt, this is the BEST hotel I’ve stayed in. The location is absolutely unbeatable, right in the heart of Times Square.

First off, the moment you walk in, you're greeted by very friendly doormen who quickly recognised us every time we walk past and then by the beautiful smell of the lobby, which we couldn’t help but compliment every time we passed through. The lobby leads up to the Sky Lobby, which immediately gives you a sense of safety and security. We arrived at check-in around 1pm, and although our room was ready, they offered early check-in for a $50 fee or we could wait until 4pm. After a long international flight, we decided to pay the $50 to get into the room early.

The check-in process was smooth—we showed our passports to confirm the booking and were asked for a $100 per night incidental hold fee. We were charged $500 on the card as a holding fee. The receptionist also explained that we'd be charged hotel tax ($35+tax), but we would receive a $35 daily credit to use in the hotel (this doesn’t roll over to the next day). It’s easy to use at places like the bar or Long Acre Market, which is located on the same floor as the lobby. This is easily used as we found the market to be really expensive, e.g $5.50 for a bottle of Coke/Fanta. 

We stayed on the 33rd floor, room 3318, and the views were just amazing. To the right, you can see Times Square, to the left, the Hudson River, and below, you get a great view of 42nd Street. The room itself was incredibly spacious and clean, with everything we needed—iron, hairdryer, safe, and more. The only minor downside was that our room was adjoining the room next door, but if that's the only issue in a five-night stay, they’re definitely doing something right.

Every single staff member we interacted with was friendly and welcoming, and we appreciated the chats with them.

Checking out was just as easy as checking in. We got the balance refunded from the $500 deposit, and after five days of hotel fees and taxes, I received $256 back on my card within two days. Our flight wasn’t until later in the evening, so we paid $5 each to have our luggage stored with the doormen for the day.

As for the location—wow, we were literally in the center of everything. The subway line is right outside the hotel’s front door, making it easy to get anywhere (uptown, downtown, or even Brooklyn). Times Square is just five minutes away, and other landmarks like Rockefeller Center, Central Park, Bryant Park, the NY Public Library, and the Empire State Building are all within a short walk.

I can’t wait to be back and will definitely be choosing this hotel again for my next stay!",2025-04-08,New York City,NY,United States
16,The BEST hotel to for our perfect holiday,5,amenities,positive,"we stayed on the 33rd floor, room 3318, and the views were just amazing.","This is my third visit to New York, and without a doubt, this is the BEST hotel I’ve stayed in. The location is absolutely unbeatable, right in the heart of Times Square.

First off, the moment you walk in, you're greeted by very friendly doormen who quickly recognised us every time we walk past and then by the beautiful smell of the lobby, which we couldn’t help but compliment every time we passed through. The lobby leads up to the Sky Lobby, which immediately gives you a sense of safety and security. We arrived at check-in around 1pm, and although our room was ready, they offered early check-in for a $50 fee or we could wait until 4pm. After a long international flight, we decided to pay the $50 to get into the room early.

The check-in process was smooth—we showed our passports to confirm the booking and were asked for a $100 per night incidental hold fee. We were charged $500 on the card as a holding fee. The receptionist also explained that we'd be charged hotel tax ($35+tax), but we would receive a $35 daily credit to use in the hotel (this doesn’t roll over to the next day). It’s easy to use at places like the bar or Long Acre Market, which is located on the same floor as the lobby. This is easily used as we found the market to be really expensive, e.g $5.50 for a bottle of Coke/Fanta. 

We stayed on the 33rd floor, room 3318, and the views were just amazing. To the right, you can see Times Square, to the left, the Hudson River, and below, you get a great view of 42nd Street. The room itself was incredibly spacious and clean, with everything we needed—iron, hairdryer, safe, and more. The only minor downside was that our room was adjoining the room next door, but if that's the only issue in a five-night stay, they’re definitely doing something right.

Every single staff member we interacted with was friendly and welcoming, and we appreciated the chats with them.

Checking out was just as easy as checking in. We got the balance refunded from the $500 deposit, and after five days of hotel fees and taxes, I received $256 back on my card within two days. Our flight wasn’t until later in the evening, so we paid $5 each to have our luggage stored with the doormen for the day.

As for the location—wow, we were literally in the center of everything. The subway line is right outside the hotel’s front door, making it easy to get anywhere (uptown, downtown, or even Brooklyn). Times Square is just five minutes away, and other landmarks like Rockefeller Center, Central Park, Bryant Park, the NY Public Library, and the Empire State Building are all within a short walk.

I can’t wait to be back and will definitely be choosing this hotel again for my next stay!",2025-04-08,New York City,NY,United States
16,The BEST hotel to for our perfect holiday,5,amenities,positive,"to the right, you can see times square, to the left, the hudson river, and below, you get a great view of 42nd street.","This is my third visit to New York, and without a doubt, this is the BEST hotel I’ve stayed in. The location is absolutely unbeatable, right in the heart of Times Square.

First off, the moment you walk in, you're greeted by very friendly doormen who quickly recognised us every time we walk past and then by the beautiful smell of the lobby, which we couldn’t help but compliment every time we passed through. The lobby leads up to the Sky Lobby, which immediately gives you a sense of safety and security. We arrived at check-in around 1pm, and although our room was ready, they offered early check-in for a $50 fee or we could wait until 4pm. After a long international flight, we decided to pay the $50 to get into the room early.

The check-in process was smooth—we showed our passports to confirm the booking and were asked for a $100 per night incidental hold fee. We were charged $500 on the card as a holding fee. The receptionist also explained that we'd be charged hotel tax ($35+tax), but we would receive a $35 daily credit to use in the hotel (this doesn’t roll over to the next day). It’s easy to use at places like the bar or Long Acre Market, which is located on the same floor as the lobby. This is easily used as we found the market to be really expensive, e.g $5.50 for a bottle of Coke/Fanta. 

We stayed on the 33rd floor, room 3318, and the views were just amazing. To the right, you can see Times Square, to the left, the Hudson River, and below, you get a great view of 42nd Street. The room itself was incredibly spacious and clean, with everything we needed—iron, hairdryer, safe, and more. The only minor downside was that our room was adjoining the room next door, but if that's the only issue in a five-night stay, they’re definitely doing something right.

Every single staff member we interacted with was friendly and welcoming, and we appreciated the chats with them.

Checking out was just as easy as checking in. We got the balance refunded from the $500 deposit, and after five days of hotel fees and taxes, I received $256 back on my card within two days. Our flight wasn’t until later in the evening, so we paid $5 each to have our luggage stored with the doormen for the day.

As for the location—wow, we were literally in the center of everything. The subway line is right outside the hotel’s front door, making it easy to get anywhere (uptown, downtown, or even Brooklyn). Times Square is just five minutes away, and other landmarks like Rockefeller Center, Central Park, Bryant Park, the NY Public Library, and the Empire State Building are all within a short walk.

I can’t wait to be back and will definitely be choosing this hotel again for my next stay!",2025-04-08,New York City,NY,United States
16,The BEST hotel to for our perfect holiday,5,amenities,positive,"the room itself was incredibly spacious and clean, with everything we needed—iron, hairdryer, safe, and more.","This is my third visit to New York, and without a doubt, this is the BEST hotel I’ve stayed in. The location is absolutely unbeatable, right in the heart of Times Square.

First off, the moment you walk in, you're greeted by very friendly doormen who quickly recognised us every time we walk past and then by the beautiful smell of the lobby, which we couldn’t help but compliment every time we passed through. The lobby leads up to the Sky Lobby, which immediately gives you a sense of safety and security. We arrived at check-in around 1pm, and although our room was ready, they offered early check-in for a $50 fee or we could wait until 4pm. After a long international flight, we decided to pay the $50 to get into the room early.

The check-in process was smooth—we showed our passports to confirm the booking and were asked for a $100 per night incidental hold fee. We were charged $500 on the card as a holding fee. The receptionist also explained that we'd be charged hotel tax ($35+tax), but we would receive a $35 daily credit to use in the hotel (this doesn’t roll over to the next day). It’s easy to use at places like the bar or Long Acre Market, which is located on the same floor as the lobby. This is easily used as we found the market to be really expensive, e.g $5.50 for a bottle of Coke/Fanta. 

We stayed on the 33rd floor, room 3318, and the views were just amazing. To the right, you can see Times Square, to the left, the Hudson River, and below, you get a great view of 42nd Street. The room itself was incredibly spacious and clean, with everything we needed—iron, hairdryer, safe, and more. The only minor downside was that our room was adjoining the room next door, but if that's the only issue in a five-night stay, they’re definitely doing something right.

Every single staff member we interacted with was friendly and welcoming, and we appreciated the chats with them.

Checking out was just as easy as checking in. We got the balance refunded from the $500 deposit, and after five days of hotel fees and taxes, I received $256 back on my card within two days. Our flight wasn’t until later in the evening, so we paid $5 each to have our luggage stored with the doormen for the day.

As for the location—wow, we were literally in the center of everything. The subway line is right outside the hotel’s front door, making it easy to get anywhere (uptown, downtown, or even Brooklyn). Times Square is just five minutes away, and other landmarks like Rockefeller Center, Central Park, Bryant Park, the NY Public Library, and the Empire State Building are all within a short walk.

I can’t wait to be back and will definitely be choosing this hotel again for my next stay!",2025-04-08,New York City,NY,United States
16,The BEST hotel to for our perfect holiday,5,cleanliness,positive,"the room itself was incredibly spacious and clean, with everything we needed—iron, hairdryer, safe, and more.","This is my third visit to New York, and without a doubt, this is the BEST hotel I’ve stayed in. The location is absolutely unbeatable, right in the heart of Times Square.

First off, the moment you walk in, you're greeted by very friendly doormen who quickly recognised us every time we walk past and then by the beautiful smell of the lobby, which we couldn’t help but compliment every time we passed through. The lobby leads up to the Sky Lobby, which immediately gives you a sense of safety and security. We arrived at check-in around 1pm, and although our room was ready, they offered early check-in for a $50 fee or we could wait until 4pm. After a long international flight, we decided to pay the $50 to get into the room early.

The check-in process was smooth—we showed our passports to confirm the booking and were asked for a $100 per night incidental hold fee. We were charged $500 on the card as a holding fee. The receptionist also explained that we'd be charged hotel tax ($35+tax), but we would receive a $35 daily credit to use in the hotel (this doesn’t roll over to the next day). It’s easy to use at places like the bar or Long Acre Market, which is located on the same floor as the lobby. This is easily used as we found the market to be really expensive, e.g $5.50 for a bottle of Coke/Fanta. 

We stayed on the 33rd floor, room 3318, and the views were just amazing. To the right, you can see Times Square, to the left, the Hudson River, and below, you get a great view of 42nd Street. The room itself was incredibly spacious and clean, with everything we needed—iron, hairdryer, safe, and more. The only minor downside was that our room was adjoining the room next door, but if that's the only issue in a five-night stay, they’re definitely doing something right.

Every single staff member we interacted with was friendly and welcoming, and we appreciated the chats with them.

Checking out was just as easy as checking in. We got the balance refunded from the $500 deposit, and after five days of hotel fees and taxes, I received $256 back on my card within two days. Our flight wasn’t until later in the evening, so we paid $5 each to have our luggage stored with the doormen for the day.

As for the location—wow, we were literally in the center of everything. The subway line is right outside the hotel’s front door, making it easy to get anywhere (uptown, downtown, or even Brooklyn). Times Square is just five minutes away, and other landmarks like Rockefeller Center, Central Park, Bryant Park, the NY Public Library, and the Empire State Building are all within a short walk.

I can’t wait to be back and will definitely be choosing this hotel again for my next stay!",2025-04-08,New York City,NY,United States
16,The BEST hotel to for our perfect holiday,5,service,positive,"every single staff member we interacted with was friendly and welcoming, and we appreciated the chats with them.","This is my third visit to New York, and without a doubt, this is the BEST hotel I’ve stayed in. The location is absolutely unbeatable, right in the heart of Times Square.

First off, the moment you walk in, you're greeted by very friendly doormen who quickly recognised us every time we walk past and then by the beautiful smell of the lobby, which we couldn’t help but compliment every time we passed through. The lobby leads up to the Sky Lobby, which immediately gives you a sense of safety and security. We arrived at check-in around 1pm, and although our room was ready, they offered early check-in for a $50 fee or we could wait until 4pm. After a long international flight, we decided to pay the $50 to get into the room early.

The check-in process was smooth—we showed our passports to confirm the booking and were asked for a $100 per night incidental hold fee. We were charged $500 on the card as a holding fee. The receptionist also explained that we'd be charged hotel tax ($35+tax), but we would receive a $35 daily credit to use in the hotel (this doesn’t roll over to the next day). It’s easy to use at places like the bar or Long Acre Market, which is located on the same floor as the lobby. This is easily used as we found the market to be really expensive, e.g $5.50 for a bottle of Coke/Fanta. 

We stayed on the 33rd floor, room 3318, and the views were just amazing. To the right, you can see Times Square, to the left, the Hudson River, and below, you get a great view of 42nd Street. The room itself was incredibly spacious and clean, with everything we needed—iron, hairdryer, safe, and more. The only minor downside was that our room was adjoining the room next door, but if that's the only issue in a five-night stay, they’re definitely doing something right.

Every single staff member we interacted with was friendly and welcoming, and we appreciated the chats with them.

Checking out was just as easy as checking in. We got the balance refunded from the $500 deposit, and after five days of hotel fees and taxes, I received $256 back on my card within two days. Our flight wasn’t until later in the evening, so we paid $5 each to have our luggage stored with the doormen for the day.

As for the location—wow, we were literally in the center of everything. The subway line is right outside the hotel’s front door, making it easy to get anywhere (uptown, downtown, or even Brooklyn). Times Square is just five minutes away, and other landmarks like Rockefeller Center, Central Park, Bryant Park, the NY Public Library, and the Empire State Building are all within a short walk.

I can’t wait to be back and will definitely be choosing this hotel again for my next stay!",2025-04-08,New York City,NY,United States
17,Stayed for a play,5,attractions,positive,the location is great.,"My husband and I really enjoyed our stay at Hilton Times Square.  The location is great.  Great proximity to a lot of attractions. The staff very polite, as well.  The doorman, Mike, gave us exceptional service.  He went over and beyond to help out with getting our car from the parking garage.  I would highly recommend staying at this location.",2025-04-06,New York City,NY,United States
17,Stayed for a play,5,attractions,positive,great proximity to a lot of attractions.,"My husband and I really enjoyed our stay at Hilton Times Square.  The location is great.  Great proximity to a lot of attractions. The staff very polite, as well.  The doorman, Mike, gave us exceptional service.  He went over and beyond to help out with getting our car from the parking garage.  I would highly recommend staying at this location.",2025-04-06,New York City,NY,United States
19,What an amazing experience!,5,cleanliness,positive,"the room was clean, comfortable, and quiet, with an amazing city view.","I had a fantastic stay at the Hilton Times Square. From the moment we walked in, we were greeted with warm smiles, and check-in was quick and easy.

The room was clean, comfortable, and quiet, with an amazing city view. The bed was super cozy, and the amenities were great.

A special shoutout to the front desk staff—everyone was so kind and helpful. With the city being so hectic and us feeling a bit overwhelmed at times, they went out of their way to make things easier for us, whether it was giving directions or answering questions with patience and a smile.

The food at the hotel restaurant was fresh and delicious, especially breakfast, which had plenty of options to start the day right.

And of course, the location is unbeatable—right in the middle of everything, with Broadway, great restaurants, and NYC landmarks just steps away.

Overall, an amazing experience. Thanks to the staff for making our trip even better—I’d definitely stay here again!",2025-03-20,New York City,NY,United States
19,What an amazing experience!,5,amenities,positive,"the room was clean, comfortable, and quiet, with an amazing city view.","I had a fantastic stay at the Hilton Times Square. From the moment we walked in, we were greeted with warm smiles, and check-in was quick and easy.

The room was clean, comfortable, and quiet, with an amazing city view. The bed was super cozy, and the amenities were great.

A special shoutout to the front desk staff—everyone was so kind and helpful. With the city being so hectic and us feeling a bit overwhelmed at times, they went out of their way to make things easier for us, whether it was giving directions or answering questions with patience and a smile.

The food at the hotel restaurant was fresh and delicious, especially breakfast, which had plenty of options to start the day right.

And of course, the location is unbeatable—right in the middle of everything, with Broadway, great restaurants, and NYC landmarks just steps away.

Overall, an amazing experience. Thanks to the staff for making our trip even better—I’d definitely stay here again!",2025-03-20,New York City,NY,United States
19,What an amazing experience!,5,amenities,positive,"the bed was super cozy, and the amenities were great.","I had a fantastic stay at the Hilton Times Square. From the moment we walked in, we were greeted with warm smiles, and check-in was quick and easy.

The room was clean, comfortable, and quiet, with an amazing city view. The bed was super cozy, and the amenities were great.

A special shoutout to the front desk staff—everyone was so kind and helpful. With the city being so hectic and us feeling a bit overwhelmed at times, they went out of their way to make things easier for us, whether it was giving directions or answering questions with patience and a smile.

The food at the hotel restaurant was fresh and delicious, especially breakfast, which had plenty of options to start the day right.

And of course, the location is unbeatable—right in the middle of everything, with Broadway, great restaurants, and NYC landmarks just steps away.

Overall, an amazing experience. Thanks to the staff for making our trip even better—I’d definitely stay here again!",2025-03-20,New York City,NY,United States
19,What an amazing experience!,5,service,positive,a special shoutout to the front desk staff—everyone was so kind and helpful.,"I had a fantastic stay at the Hilton Times Square. From the moment we walked in, we were greeted with warm smiles, and check-in was quick and easy.

The room was clean, comfortable, and quiet, with an amazing city view. The bed was super cozy, and the amenities were great.

A special shoutout to the front desk staff—everyone was so kind and helpful. With the city being so hectic and us feeling a bit overwhelmed at times, they went out of their way to make things easier for us, whether it was giving directions or answering questions with patience and a smile.

The food at the hotel restaurant was fresh and delicious, especially breakfast, which had plenty of options to start the day right.

And of course, the location is unbeatable—right in the middle of everything, with Broadway, great restaurants, and NYC landmarks just steps away.

Overall, an amazing experience. Thanks to the staff for making our trip even better—I’d definitely stay here again!",2025-03-20,New York City,NY,United States
19,What an amazing experience!,5,attractions,positive,"and of course, the location is unbeatable—right in the middle of everything, with broadway, great restaurants, and nyc landmarks just steps away.","I had a fantastic stay at the Hilton Times Square. From the moment we walked in, we were greeted with warm smiles, and check-in was quick and easy.

The room was clean, comfortable, and quiet, with an amazing city view. The bed was super cozy, and the amenities were great.

A special shoutout to the front desk staff—everyone was so kind and helpful. With the city being so hectic and us feeling a bit overwhelmed at times, they went out of their way to make things easier for us, whether it was giving directions or answering questions with patience and a smile.

The food at the hotel restaurant was fresh and delicious, especially breakfast, which had plenty of options to start the day right.

And of course, the location is unbeatable—right in the middle of everything, with Broadway, great restaurants, and NYC landmarks just steps away.

Overall, an amazing experience. Thanks to the staff for making our trip even better—I’d definitely stay here again!",2025-03-20,New York City,NY,United States
20,GREAT Experience,5,service,positive,check in staff was amazing and even had some great lunch recommendations in the area!,"A truly great quick stay at Hilton Times Square. First, you can't beat the location. Even more than that, the staff was incredible. Check in staff was amazing and even had some great lunch recommendations in the area! Had a 10/10 cocktail before going out that evening with exceptional service. Ended my stay with an incredible buffet where the food was hot and tasty. Not to be missed!!",2025-03-19,New York City,NY,United States
21,Not a great experience,2,service,negative,"we called the front desk about our phone being broken, the hair dryer being broken, the fridge not working, paint peeling off the bathtub and nothing has been addressed.","We are currently staying at the Hilton Times Square and we are so disappointed by the hotel. The rooms are old, there was a nail sticking up outside the bathroom door which my husband poked himself on and we called to have someone look at it twice but no one came. It only got fixed because someone was randomly checking phones and my husband asked them to check it. We called the front desk about our phone being broken, the hair dryer being broken, the fridge not working, paint peeling off the bathtub and nothing has been addressed. They said they would send an engineer right away but no one has come to our room. I have two young kids who need to use the bathtub so having paint flakes floating in their bath water is not ideal. I have asked about these issues multiple times as well. Currently on night 4 of 7. For the amount of money this hotel costs I would expect a lot more, especially from a Hilton hotel. The housekeeping staff are absolutely wonderful though.",2025-03-17,New York City,NY,United States
21,Not a great experience,2,service,positive,the housekeeping staff are absolutely wonderful though.,"We are currently staying at the Hilton Times Square and we are so disappointed by the hotel. The rooms are old, there was a nail sticking up outside the bathroom door which my husband poked himself on and we called to have someone look at it twice but no one came. It only got fixed because someone was randomly checking phones and my husband asked them to check it. We called the front desk about our phone being broken, the hair dryer being broken, the fridge not working, paint peeling off the bathtub and nothing has been addressed. They said they would send an engineer right away but no one has come to our room. I have two young kids who need to use the bathtub so having paint flakes floating in their bath water is not ideal. I have asked about these issues multiple times as well. Currently on night 4 of 7. For the amount of money this hotel costs I would expect a lot more, especially from a Hilton hotel. The housekeeping staff are absolutely wonderful though.",2025-03-17,New York City,NY,United States
21,Not a great experience,2,cleanliness,positive,the housekeeping staff are absolutely wonderful though.,"We are currently staying at the Hilton Times Square and we are so disappointed by the hotel. The rooms are old, there was a nail sticking up outside the bathroom door which my husband poked himself on and we called to have someone look at it twice but no one came. It only got fixed because someone was randomly checking phones and my husband asked them to check it. We called the front desk about our phone being broken, the hair dryer being broken, the fridge not working, paint peeling off the bathtub and nothing has been addressed. They said they would send an engineer right away but no one has come to our room. I have two young kids who need to use the bathtub so having paint flakes floating in their bath water is not ideal. I have asked about these issues multiple times as well. Currently on night 4 of 7. For the amount of money this hotel costs I would expect a lot more, especially from a Hilton hotel. The housekeeping staff are absolutely wonderful though.",2025-03-17,New York City,NY,United States
22,Will happily come again!,5,service,positive,"had a great time, the hotel was clean and nice, reception staff was great from start to finish, edward helped me at check-in to change the bed type quick and easily and also checked me out with a winning smile, the rooms were always made uo nicely by different people.","Had a great time, the hotel was clean and nice, reception staff was great from start to finish, Edward helped me at check-in to change the bed type quick and easily and also checked me out with a winning smile, the rooms were always made uo nicely by different people. It is a nice touch that they always left a card, it feels very personal. The rooftop bar is nice, albeit small, but offers a great view over the city. The only thing that was a bit small was the entrance hall, but I guess that cannot be helped. When we left our luggage on the last day Mohammad took care of us and navigated the chaos to store our belongings. Overall a very pleasant experience and I would stay here again when I come to NY again.",2025-03-12,New York City,NY,United States
22,Will happily come again!,5,cleanliness,positive,"had a great time, the hotel was clean and nice, reception staff was great from start to finish, edward helped me at check-in to change the bed type quick and easily and also checked me out with a winning smile, the rooms were always made uo nicely by different people.","Had a great time, the hotel was clean and nice, reception staff was great from start to finish, Edward helped me at check-in to change the bed type quick and easily and also checked me out with a winning smile, the rooms were always made uo nicely by different people. It is a nice touch that they always left a card, it feels very personal. The rooftop bar is nice, albeit small, but offers a great view over the city. The only thing that was a bit small was the entrance hall, but I guess that cannot be helped. When we left our luggage on the last day Mohammad took care of us and navigated the chaos to store our belongings. Overall a very pleasant experience and I would stay here again when I come to NY again.",2025-03-12,New York City,NY,United States
22,Will happily come again!,5,amenities,positive,"had a great time, the hotel was clean and nice, reception staff was great from start to finish, edward helped me at check-in to change the bed type quick and easily and also checked me out with a winning smile, the rooms were always made uo nicely by different people.","Had a great time, the hotel was clean and nice, reception staff was great from start to finish, Edward helped me at check-in to change the bed type quick and easily and also checked me out with a winning smile, the rooms were always made uo nicely by different people. It is a nice touch that they always left a card, it feels very personal. The rooftop bar is nice, albeit small, but offers a great view over the city. The only thing that was a bit small was the entrance hall, but I guess that cannot be helped. When we left our luggage on the last day Mohammad took care of us and navigated the chaos to store our belongings. Overall a very pleasant experience and I would stay here again when I come to NY again.",2025-03-12,New York City,NY,United States
